"Freq","CATEGORY","PRIMARY_COM_NAME","SCI_NAME","ORDER1","FAMILY","SPECIES_GROUP"
33,"issf","Fox Sparrow (Red)","Passerella iliaca iliaca/zaboria","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
32,"species","Marsh Wren","Cistothorus palustris","Passeriformes","Troglodytidae (Wrens)","Wrens"
28,"issf","Eastern Towhee (Red-eyed)","Pipilo erythrophthalmus erythrophthalmus/canaster","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
26,"species","Bank Swallow","Riparia riparia","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
24,"issf","Northern Rough-winged Swallow (Northern)","Stelgidopteryx serripennis [serripennis Group]","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
23,"species","Acadian Flycatcher","Empidonax virescens","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
18,"species","Kentucky Warbler","Geothlypis formosa","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
17,"issf","Blue-gray Gnatcatcher (caerulea)","Polioptila caerulea caerulea","Passeriformes","Polioptilidae (Gnatcatchers)","Gnatcatchers"
16,"species","Seaside Sparrow","Ammospiza maritima","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
16,"issf","Common Grackle (Purple)","Quiscalus quiscula quiscula/stonei","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
14,"issf","Swainson's Thrush (Olive-backed)","Catharus ustulatus [swainsoni Group]","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
12,"issf","Savannah Sparrow (Savannah)","Passerculus sandwichensis [sandwichensis Group]","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
11,"issf","Hermit Thrush (faxoni/crymophilus)","Catharus guttatus faxoni/crymophilus","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
10,"species","Willow Flycatcher","Empidonax traillii","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
10,"issf","Common Grackle (Bronzed)","Quiscalus quiscula versicolor","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
9,"species","Philadelphia Vireo","Vireo philadelphicus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireos"
9,"species","Eastern Meadowlark","Sturnella magna","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
7,"issf","White-breasted Nuthatch (Eastern)","Sitta carolinensis carolinensis","Passeriformes","Sittidae (Nuthatches)","Nuthatches"
7,"issf","Palm Warbler (Western)","Setophaga palmarum palmarum","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
6,"species","Bobolink","Dolichonyx oryzivorus","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
5,"species","Eastern Bluebird","Sialia sialis","Passeriformes","Turdidae (Thrushes and Allies)","Thrushes"
5,"form","White-crowned Sparrow (Dark-lored)","Zonotrichia leucophrys leucophrys/oriantha","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
5,"issf","Orchard Oriole (Orchard)","Icterus spurius spurius","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
5,"issf","Yellow-throated Warbler (albilora)","Setophaga dominica albilora","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
2,"issf","Purple Finch (Eastern)","Haemorhous purpureus purpureus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
2,"species","Vesper Sparrow","Pooecetes gramineus","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
2,"species","Boat-tailed Grackle","Quiscalus major","Passeriformes","Icteridae (Troupials and Allies)","Blackbirds"
1,"species","Alder Flycatcher","Empidonax alnorum","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
1,"issf","Cliff Swallow (pyrrhonota Group)","Petrochelidon pyrrhonota [pyrrhonota Group]","Passeriformes","Hirundinidae (Swallows)","Martins and Swallows"
1,"issf","House Finch (Common)","Haemorhous mexicanus [mexicanus Group]","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
1,"species","Pine Siskin","Spinus pinus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies"
1,"species","Grasshopper Sparrow","Ammodramus savannarum","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
1,"issf","White-crowned Sparrow (leucophrys)","Zonotrichia leucophrys leucophrys","Passeriformes","Passerellidae (New World Sparrows)","New World Sparrows"
1,"issf","Common Yellowthroat (trichas Group)","Geothlypis trichas [trichas Group]","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1,"issf","Wilson's Warbler (pusilla)","Cardellina pusilla pusilla","Passeriformes","Parulidae (New World Warblers)","Wood-Warblers"
1,"species","Blue Grosbeak","Passerina caerulea","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
1,"species","Painted Bunting","Passerina ciris","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinals, Grosbeaks, and Allies"
